Tactic,OC Rate,FR Rate,GK Rate,CD Rate,StDev
hos_cite,52.8%,72.2%,75.0%,45.8%,0.144
drop_and_hook,86.1%,69.4%,84.7%,59.7%,0.127
acknowledge,87.5%,100.0%,97.2%,75.0%,0.113
fast_unload,48.6%,58.3%,48.6%,33.3%,0.103
detention_cite,16.7%,25.0%,30.6%,12.5%,0.081
rescheduling_fee,16.7%,31.9%,29.2%,27.8%,0.067
rapport_building,79.2%,77.8%,79.2%,87.5%,0.044
escalation,2.8%,1.4%,4.2%,6.9%,0.024
otif_cite,88.9%,90.3%,88.9%,93.1%,0.020
retailer_name,98.6%,100.0%,100.0%,100.0%,0.007
bluffing,0.0%,0.0%,0.0%,0.0%,0.000
